scientificName;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19
Dichotomius agenor;-7,493,937;651,111,699,999,996;23,716,667,175,293;916,666,698,455,811;889,967,727,661,133;414,692,344,665,527;29;187,000,007,629,395;102,999,992,370,605;23,283,332,824,707;238,666,667,938,232;241,166,667,938,232;230,833,320,617,676;2971;346;115;346,153,678,894,043;1007;402;788;853
Dichotomius agenor;-7,488,624;649,601,499,999,997;238,125;915,833,377,838,135;889,158,477,783,203;414,578,285,217,285;291,000,003,814,697;187,999,992,370,605;103,000,011,444,092;233,833,332,061,768;236,166,667,938,232;242,000,007,629,395;231,833,324,432,373;2725;358;77;408,272,323,608,398;963;319;737;718
Dichotomius agenor;-7,490,974;650,215,199,999,999;23,658,332,824,707;911,666,679,382,324;885,113,296,508,789;42,471,019,744,873;288,999,996,185,303;186,000,003,814,697;102,999,992,370,605;23,5;234,500,007,629,395;240,666,656,494,141;230,166,664,123,535;2904;359;75;381,428,642,272,949;1005;362;763;765
Dichotomius agenor;-73,387,665;1,036,245;282,041,664,123,535;109,750,003,814,697;80,109,489,440,918;649,286,041,259,766;352,000,007,629,395;21,5;137,000,007,629,395;278,666,667,938,232;27,966,667,175,293;288,500,003,814,697;273,166,656,494,141;1373;276;14;704,318,695,068,359;616;69;181;419
Dichotomius agenor;-730,885;10,514,667;277,875,003,814,697;105,749,998,092,651;813,461,532,592,773;572,921,333,312,988;342,000,007,629,395;212,000,007,629,395;13;27,75;27,25;282,999,992,370,605;270,666,656,494,141;1291;223;10;665,052,795,410,156;560;59;367;362
Dichotomius agenor;-75,156,944;323,055,600,000,001;273,166,675,567,627;114,166,679,382,324;845,678,939,819,336;619,873,008,728,027;349,000,015,258,789;213,999,996,185,303;135,000,019,073,486;26,966,667,175,293;281,666,679,382,324;281,666,679,382,324;266,666,679,382,324;2180;293;67;420,094,451,904,297;753;300;300;727
Dichotomius agenor;-76,103,584;851,030,500,000,012;272,041,664,123,535;832,499,980,926,514;90,489,143,371,582;239,752,178,192,139;318,999,996,185,303;227,000,007,629,395;919,999,885,559,082;270,833,339,691,162;273,833,332,061,768;275,166,664,123,535;269,166,660,308,838;1605;237;22;602,648,963,928,223;624;81;174;540
Dichotomius agenor;-7,591,111;873,944,500,000,007;278,291,664,123,535;902,499,961,853,027;843,458,023,071,289;293,457,889,556,885;330,999,984,741,211;223,999,996,185,303;106,999,988,555,908;27,966,667,175,293;279,333,324,432,373;282,000,007,629,395;275,166,664,123,535;1477;200;18;596,665,000,915,527;582;70;339;471
Dichotomius agenor;-68;100,000,000,000,001;241,666,660,308,838;106,999,998,092,651;753,521,194,458,008;606,904,716,491,699;312,999,992,370,605;171,000,003,814,697;141,999,988,555,908;237,333,335,876,465;241,499,996,185,303;250,833,339,691,162;237,333,335,876,465;1297;227;13;708,118,743,896,484;619;46;244;619
Dichotomius agenor;-7,297,525;105,836,600,000,001;271,083,335,876,465;10,5;813,953,475,952,148;586,527,862,548,828;332,999,992,370,605;203,999,996,185,303;128,999,996,185,303;267,666,664,123,535;268,500,003,814,697;27,716,667,175,293;263,500,003,814,697;1228;224;12;691,307,144,165,039;533;64;317;181
Dichotomius agenor;-717,104;766,219,999,999,993;264,208,335,876,465;967,500,019,073,486;841,304,397,583,008;382,253,036,499,023;317,999,992,370,605;202,999,992,370,605;11,5;264,166,660,308,838;258,833,332,061,768;26,75;258,833,332,061,768;2192;354;31;597,024,230,957,031;898;146;503;146
Dichotomius agenor;-7,472,649;536,681,000,000,006;276,499,996,185,303;10,466,667,175,293;844,086,074,829,102;496,350,517,272,949;34,5;221,000,003,814,697;123,999,996,185,303;272,333,335,876,465;27,716,667,175,293;28,25;27;2502;370;89;434,291,229,248,047;889;339;551;816
