"scientificName";"decimalLongitude";"decimalLatitude";"wc2.1_30s_bio_1";"wc2.1_30s_bio_2";"wc2.1_30s_bio_3";"wc2.1_30s_bio_4";"wc2.1_30s_bio_5";"wc2.1_30s_bio_6";"wc2.1_30s_bio_7";"wc2.1_30s_bio_8";"wc2.1_30s_bio_9";"wc2.1_30s_bio_10";"wc2.1_30s_bio_11";"wc2.1_30s_bio_12";"wc2.1_30s_bio_13";"wc2.1_30s_bio_14";"wc2.1_30s_bio_15";"wc2.1_30s_bio_16";"wc2.1_30s_bio_17";"wc2.1_30s_bio_18";"wc2.1_30s_bio_19";"swc_fr";"stress"
"Dichotomius agenor";-73,458622;9,55570299999997;28,5541667938232;11,125;79,4642791748047;58,5219345092773;35,9000015258789;21,8999996185303;14,0000019073486;27,7999992370605;29,0666675567627;29,2333335876465;27,7999992370605;1392;239;24;56,7553176879883;519;103;213;519;69;-68,9993362426758
"Dichotomius agenor";-73,520155;9,60852700000007;28,5874996185303;11,0916662216187;79,226188659668;62,4909248352051;36;22;14;28,0833320617676;28,6499996185303;29,3500003814697;27,7999992370605;1470;258;18;58,428783416748;619;93;238;600;68;-65,9993362426758
"Dichotomius agenor";-73,597363;9,71412699999994;28,5416660308838;10,8166666030884;78,3816452026367;67,9850921630859;36;22,2000007629395;13,7999992370605;27,716667175293;28,5833339691162;29,3666667938232;27,6833324432373;1482;233;14;58,4762840270996;561;81;294;414;60,0004348754883;-59,0004348754883
"Dichotomius agenor";-73,290659;9,54222700000014;27,470832824707;11,0083332061768;80,3527908325195;56,2243309020996;34,5;20,7999992370605;13,7000007629395;26,7666664123535;27,3666667938232;28,0499992370605;26,7333335876465;1534;262;23;58,0841369628906;647;93;269;507;70,0004348754883;-76,9993362426758
"Dichotomius agenor";-73,282509;9,55078799999995;27,0708332061768;10,9583339691162;80,5759811401367;53,9974098205566;34;20,3999996185303;13,6000003814697;26,3833332061768;27,3999996185303;27,6166667938232;26,3500003814697;1499;269;16;57,7935371398926;649;108;235;548;70,9993286132812;-76,9993286132812
"Dichotomius agenor";-73,89056;7,25533000000009;28,0666675567627;11,25;88,5826873779297;34,3995895385742;34,5999984741211;21,8999996185303;12,6999988555908;27,6000003814697;28,216667175293;28,4833335876465;27,6000003814697;2897;462;41;51,8721885681152;1128;219;536;1128;71;-85,0004196166992
"Dichotomius agenor";-73,853441;7,33566099999996;28,095832824707;11,2749996185303;88,0859298706055;33,740894317627;34,7000007629395;21,8999996185303;12,8000011444092;27,6499996185303;28,1833324432373;28,5;27,6499996185303;3084;449;42;53,8953590393066;1198;205;540;1198;70;-84,0004196166992
"Dichotomius agenor";-73,70668;7,30155000000004;27,8125;11,6750001907349;88,4469833374023;32,8304862976074;34,5999984741211;21,3999996185303;13,1999988555908;27,5666675567627;27,8833332061768;28,2000007629395;27,3833332061768;2528;418;39;54,6995048522949;945;212;530;902;72;-87
"Dichotomius agenor";-73,843614;7,33439999999986;28,091667175293;11,283332824707;88,1510314941406;33,6987686157227;34,7000007629395;21,8999996185303;12,8000011444092;27,6499996185303;28,1833324432373;28,5;27,6499996185303;2983;448;35;53,4708862304688;1144;212;546;1144;70;-84,9993362426758
"Dichotomius agenor";-73,855205;7,28602599999996;27,9791660308838;11,4416666030884;88,6951065063477;33,5381927490234;34,5999984741211;21,7000007629395;12,8999977111816;27,533332824707;28,0666675567627;28,3833332061768;27,533332824707;2835;448;36;52,6627006530762;1105;214;525;1105;70;-85
"Dichotomius agenor";-73,878061;7,26434300000007;28,0416660308838;11,3000001907349;88,9763870239258;34,101001739502;34,5999984741211;21,8999996185303;12,6999988555908;27,5833339691162;28,1499996185303;28,4500007629395;27,5833339691162;2884;443;36;54,8757209777832;1124;179;532;1124;71;-85
"Dichotomius agenor";-73,768617;7,34873199999985;27,8875007629395;11,4583330154419;88,1410369873047;32,8304634094238;34,5999984741211;21,6000003814697;12,9999980926514;27,466667175293;27,9500007629395;28,283332824707;27,466667175293;2780;418;43;48,9362030029297;1083;266;517;1083;70;-85
"Dichotomius agenor";-73,890041;7,27663700000013;28,0708332061768;11,2249994277954;88,3858337402344;34,407844543457;34,5999984741211;21,8999996185303;12,6999988555908;27,7666664123535;28,1999988555908;28,4833335876465;27,6000003814697;2895;426;42;51,1262664794922;1073;204;536;1057;71;-85
"Dichotomius agenor";-73,857472;7,26107200000004;27,9833335876465;11,4833326339722;89,0180969238281;32,2161407470703;34,5999984741211;21,7000007629395;12,8999977111816;27,5499992370605;28,0833339691162;28,3666667938232;27,5499992370605;2826;448;36;53,374641418457;1058;203;512;1058;71;-85,0004196166992
"Dichotomius agenor";-73,792786;7,40833099999991;28,1083335876465;11,1000003814697;86,7187423706055;35,1511535644531;34,7000007629395;21,8999996185303;12,8000011444092;27,8333339691162;28,1666660308838;28,533332824707;27,6500015258789;2776;379;42;50,6400985717773;1045;222;520;1020;70;-84
